City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Lorengau,PG,81.32,overcast clouds,-2.0226,147.2712,Lorengau
6,Albany,US,84.02,broken clouds,42.6001,-73.9662,Voorheesville
9,Butaritari,KI,81.72,light rain,3.0707,172.7902,Ukiangang
11,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Cabo Frio
14,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Nukuhetulu
15,Kutum,SD,75.11,scattered clouds,14.2,24.6667,Kutum
18,Humen,CN,84.11,broken clouds,22.819,113.6731,Dongguan
22,Meulaboh,ID,75.67,overcast clouds,4.1363,96.1285,Meulaboh
23,Georgetown,MY,76.95,thunderstorm with light rain,5.4112,100.3354,George Town
24,Boyuibe,BO,76.8,clear sky,-20.4167,-63.2833,Boyuibe
25,Hilo,US,81.25,broken clouds,19.7297,-155.09,Hilo
30,Kapaa,US,79.12,light rain,22.0752,-159.319,Kapaʻa
32,Hithadhoo,MV,83.32,broken clouds,-0.6,73.0833,Addu City
39,Kashi,CN,85.21,clear sky,39.4547,75.9797,Kashgar Prefecture
44,Sao Gabriel Da Cachoeira,BR,87.6,light rain,-0.1303,-67.0892,São Gabriel da Cachoeira
47,Gilgit,PK,86.56,clear sky,35.9221,74.3087,Gilgit
51,Groton,US,83.46,clear sky,41.3501,-72.0784,New London
59,Sapouy,BF,84.74,overcast clouds,11.5544,-1.7736,Sapouy
60,Gat,IL,77.81,clear sky,31.61,34.7642,Kiryat Gat
63,Jamestown,US,78.53,scattered clouds,42.097,-79.2353,Jamestown
66,The Valley,AI,86.14,haze,18.217,-63.0578,The Valley
69,Elvas,PT,75.42,scattered clouds,38.8815,-7.1628,Elvas
71,Bethel,US,85.05,clear sky,41.3712,-73.414,Danbury
76,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Avarua District
82,Forrest City,US,87.98,clear sky,35.0081,-90.7898,Forrest City
83,Roma,US,75.51,overcast clouds,43.2128,-75.4557,Rome
90,Jalu,LY,89.58,clear sky,29.0331,21.5482,Jalu
91,Nanakuli,US,80.62,overcast clouds,21.3906,-158.1547,Nānākuli
96,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Wilson Hill
97,Karpathos,GR,75.16,few clouds,35.507,27.2132,Karpathos
100,Mantua,IT,83.44,clear sky,45.1667,10.7833,Mantua
101,Dhidhdhoo,MV,81.03,overcast clouds,6.8833,73.1,Dhidhdhoo
102,Ko Samui,TH,83.35,overcast clouds,9.5357,99.9357,Koh Samui
105,Hami,CN,80.56,clear sky,42.8,93.45,Hami
106,Axim,GH,76.82,moderate rain,4.8699,-2.2405,Axim
110,San Jose El Alto,MX,79.75,overcast clouds,20.65,-100.3667,Santiago de Querétaro
121,Oussouye,SN,84.38,few clouds,12.485,-16.5469,Oussouye
122,Alamosa,US,79.7,clear sky,37.4695,-105.87,Alamosa
124,Dingle,PH,75.94,moderate rain,10.9995,122.6711,Pototan
125,Hobyo,SO,77.36,few clouds,5.3505,48.5268,Hobyo
126,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Fergana
127,Atuona,PF,77.36,few clouds,-9.8,-139.0333,Atuona
130,Ahuimanu,US,80.37,overcast clouds,21.4447,-157.8378,Honolulu
134,Salalah,OM,80.24,broken clouds,17.0151,54.0924,Salalah
135,Takoradi,GH,76.64,moderate rain,4.8845,-1.7554,Takoradi
140,Carutapera,BR,80.98,clear sky,-1.195,-46.02,Carutapera
141,Berlevag,NO,82.2,clear sky,70.8578,29.0864,Berlevåg
142,Poplar Bluff,US,88.34,clear sky,36.757,-90.3929,Poplar Bluff
143,Harper,LR,77.14,light rain,4.375,-7.7169,Harper
144,Manuk Mangkaw,PH,83.98,overcast clouds,4.8,119.85,Simunul
