City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Severnoye,56.3491,78.3619,48.58,94,90,14.38,RU,overcast clouds,2022-06-29 19:57:31
1,Qaanaaq,77.484,-69.3632,46.89,50,12,3.27,GL,few clouds,2022-06-29 19:57:31
2,Hermanus,-34.4187,19.2345,62.4,58,9,7.14,ZA,clear sky,2022-06-29 19:57:32
3,Lorengau,-2.0226,147.2712,81.32,76,91,8.41,PG,overcast clouds,2022-06-29 19:57:32
4,Lavrentiya,65.5833,-171.0,47.14,82,94,10.45,RU,overcast clouds,2022-06-29 19:57:32
5,Bredasdorp,-34.5322,20.0403,58.78,58,43,3.58,ZA,scattered clouds,2022-06-29 19:57:33
6,Albany,42.6001,-73.9662,84.02,45,75,11.68,US,broken clouds,2022-06-29 19:52:42
7,Port Alfred,-33.5906,26.891,63.77,39,10,6.35,ZA,clear sky,2022-06-29 19:57:33
8,La Ronge,55.1001,-105.2842,71.82,37,75,11.5,CA,broken clouds,2022-06-29 19:57:34
9,Butaritari,3.0707,172.7902,81.72,78,100,15.93,KI,light rain,2022-06-29 19:57:34
10,Esperance,-33.8667,121.9,55.63,73,79,10.04,AU,broken clouds,2022-06-29 19:57:34
11,Arraial Do Cabo,-22.9661,-42.0278,78.76,57,0,11.5,BR,clear sky,2022-06-29 19:57:35
12,Tiksi,71.6872,128.8694,39.65,74,61,5.61,RU,broken clouds,2022-06-29 19:57:35
13,Pemba,-12.974,40.5178,74.1,78,40,8.05,MZ,scattered clouds,2022-06-29 19:57:35
14,Vaini,-21.2,-175.2,75.36,100,75,8.05,TO,broken clouds,2022-06-29 19:57:36
15,Kutum,14.2,24.6667,75.11,50,37,9.82,SD,scattered clouds,2022-06-29 19:57:36
16,Nakamura,32.9833,132.9333,73.33,98,26,1.88,JP,scattered clouds,2022-06-29 19:57:37
17,Udarnyy,54.3409,42.8611,52.02,74,5,2.57,RU,clear sky,2022-06-29 19:57:37
18,Humen,22.819,113.6731,84.11,76,78,7.56,CN,broken clouds,2022-06-29 19:57:38
19,Cape Town,-33.9258,18.4232,67.37,53,0,4.61,ZA,clear sky,2022-06-29 19:57:38
