City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Los Llanos De Aridane,ES,2022-06-29 15:55:24,28.6585,-17.9182,71.35,60,40,18.41
1,Bluff,NZ,2022-06-29 15:55:25,-46.6,168.3333,40.8,83,97,17.29
2,Kununurra,AU,2022-06-29 15:55:25,-15.7667,128.7333,67.98,64,47,11.5
3,Vila Do Maio,CV,2022-06-29 15:55:25,15.1333,-23.2167,81.39,79,88,17.54
4,Iqaluit,CA,2022-06-29 15:55:26,63.7506,-68.5145,56.93,44,20,10.36
5,Jumla,NP,2022-06-29 15:55:26,29.2747,82.1838,65.37,95,100,2.73
6,Hobart,AU,2022-06-29 15:54:31,-42.8794,147.3294,50.05,91,100,12.66
7,Puerto Ayora,EC,2022-06-29 15:55:27,-0.7393,-90.3518,70.56,91,88,8.99
8,Yar-Sale,RU,2022-06-29 15:55:27,66.8333,70.8333,51.28,53,87,19.98
9,Busselton,AU,2022-06-29 15:55:28,-33.65,115.3333,49.3,81,0,9.17
10,Semey,KZ,2022-06-29 15:55:28,50.4111,80.2275,80.82,32,0,22.37
11,Fort Nelson,CA,2022-06-29 15:55:28,58.8053,-122.7002,60.39,72,20,0.0
12,Albany,US,2022-06-29 15:50:59,42.6001,-73.9662,80.02,50,13,4.56
13,Hilo,US,2022-06-29 15:55:29,19.7297,-155.09,72.28,94,100,8.05
14,Berlevag,NO,2022-06-29 15:55:29,70.8578,29.0864,87.6,57,0,9.22
15,Lompoc,US,2022-06-29 15:52:02,34.6391,-120.4579,70.84,98,100,4.61
16,Ushuaia,AR,2022-06-29 15:55:30,-54.8,-68.3,37.02,64,40,8.05
17,Geraldton,AU,2022-06-29 15:55:30,-28.7667,114.6,50.41,76,0,11.5
18,San Cristobal,VE,2022-06-29 15:55:31,7.7669,-72.225,75.38,47,49,3.18
19,Sobolevo,RU,2022-06-29 15:55:31,54.4299,31.8996,72.48,84,92,5.08
20,Thompson,CA,2022-06-29 15:55:31,55.7435,-97.8558,68.16,45,20,11.5
21,Hobyo,SO,2022-06-29 15:55:32,5.3505,48.5268,78.42,78,60,28.01
22,Ahipara,NZ,2022-06-29 15:55:32,-35.1667,173.1667,56.62,75,84,20.74
23,Lebu,CL,2022-06-29 15:55:32,-37.6167,-73.65,52.32,90,79,11.25
24,Torbay,CA,2022-06-29 15:55:33,47.6666,-52.7314,74.17,78,75,12.66
25,Sitka,US,2022-06-29 15:50:47,57.0531,-135.33,57.09,82,100,10.36
26,Clyde River,CA,2022-06-29 15:55:33,70.4692,-68.5914,43.03,81,40,0.0
27,Meulaboh,ID,2022-06-29 15:55:34,4.1363,96.1285,77.85,80,100,4.63
28,Rikitea,PF,2022-06-29 15:55:34,-23.1203,-134.9692,71.55,78,67,18.3
29,Labuan,MY,2022-06-29 15:55:34,5.2767,115.2417,82.76,88,20,2.3
30,Chara,RU,2022-06-29 15:55:35,56.9064,118.2631,68.58,71,91,1.57
31,Acapulco,MX,2022-06-29 15:55:35,16.8634,-99.8901,84.04,71,33,3.31
32,Port Alfred,ZA,2022-06-29 15:55:36,-33.5906,26.891,64.18,52,0,4.47
33,Kahului,US,2022-06-29 15:51:06,20.8947,-156.47,75.22,81,40,14.97
34,Tuktoyaktuk,CA,2022-06-29 15:55:36,69.4541,-133.0374,46.4,100,100,17.27
35,Northam,GB,2022-06-29 15:55:36,51.0333,-4.2167,61.61,80,100,12.84
36,Domoni,KM,2022-06-29 15:55:37,-12.2569,44.5319,73.29,74,59,6.93
37,Sinnamary,GF,2022-06-29 15:55:37,5.3833,-52.95,73.78,97,100,2.1
38,Georgetown,MY,2022-06-29 15:55:28,5.4112,100.3354,77.95,98,40,7.0
39,Cherskiy,RU,2022-06-29 15:55:38,68.75,161.3,37.92,92,100,13.47
40,Punta Arenas,CL,2022-06-29 15:51:15,-53.15,-70.9167,35.62,93,40,3.44
41,Atuona,PF,2022-06-29 15:55:38,-9.8,-139.0333,77.27,80,20,17.98
42,Saint George,US,2022-06-29 15:54:41,37.1041,-113.5841,94.24,27,0,11.5
43,Caravelas,BR,2022-06-29 15:55:39,-17.7125,-39.2481,76.62,59,27,7.11
44,Mar Del Plata,AR,2022-06-29 15:55:39,-38.0023,-57.5575,62.62,48,0,17.27
45,Saint-Philippe,RE,2022-06-29 15:55:39,-21.3585,55.7679,69.39,74,92,11.32
46,Kavaratti,IN,2022-06-29 15:55:39,10.5669,72.642,82.29,79,100,15.55
47,Vaini,TO,2022-06-29 15:55:40,-21.2,-175.2,73.56,100,20,5.75
48,Urusha,RU,2022-06-29 15:55:40,54.05,122.9,66.45,69,73,3.98
49,Scarborough,GB,2022-06-29 15:54:56,54.2797,-0.4044,67.33,71,82,10.0
50,Cidreira,BR,2022-06-29 15:55:41,-30.1811,-50.2056,57.18,66,77,17.2
51,Cayenne,GF,2022-06-29 15:55:41,4.9333,-52.3333,75.24,1,75,4.61
52,Kapaa,US,2022-06-29 15:53:03,22.0752,-159.319,74.12,85,88,3.0
53,Hermanus,ZA,2022-06-29 15:55:42,-34.4187,19.2345,70.81,61,19,5.35
54,Khromtau,KZ,2022-06-29 15:55:42,50.2503,58.4347,57.47,54,3,12.12
55,Butaritari,KI,2022-06-29 15:55:43,3.0707,172.7902,81.21,80,100,15.12
56,East London,ZA,2022-06-29 15:55:45,-33.0153,27.9116,65.34,48,0,6.91
57,New Norfolk,AU,2022-06-29 15:55:45,-42.7826,147.0587,49.71,85,100,1.32
58,Cabo San Lucas,MX,2022-06-29 15:51:42,22.8909,-109.9124,91.18,63,17,3.65
59,Vila Velha,BR,2022-06-29 15:55:45,-20.3297,-40.2925,80.55,57,0,12.66
60,Road Town,VG,2022-06-29 15:55:46,18.4167,-64.6167,87.84,70,40,17.27
61,Naryan-Mar,RU,2022-06-29 15:55:46,67.6713,53.087,44.02,64,12,16.04
